GBManhattanDistances FeatureIds
0 71
0 71
1 71
0 71
0 21
1 21
2 21
1 21
1 21
0 21
0 129
1 129
1 129
2 129
2 129
2 129
2 129
1 129
0 129
0 154
0 132
0 132
1 132
1 132
0 132
0 65
1 65
1 65
1 65
1 65
0 112
0 112
0 71
0 21
1 21
2 21
2 21
2 21
1 21
0 21
0 129
0 129
1 129
1 129
2 129
2 129
1 129
0 129
0 154
1 154
0 154
0 154
0 132
0 132
0 65
1 65
2 65
2 65
2 65
2 65
1 112
1 112
0 112
0 112
0 21
1 21
1 21
1 21
1 21
1 21
0 21
0 129
0 129
1 129
1 129
1 129
0 129
0 154
1 154
2 154
1 154
1 154
0 154
0 154
0 65
1 65
2 65
3 65
3 65
3 65
2 112
2 112
1 112
1 112
0 112
0 21
0 21
0 21
0 21
0 21
0 104
0 129
0 129
1 129
1 129
0 129
0 154
1 154
2 154
2 154
2 154
2 154
1 154
0 154
0 65
1 65
2 65
2 65
2 65
2 65
3 112
2 112
1 112
0 112
0 104
0 104
0 104
0 104
0 104
0 104
1 104
0 104
0 129
0 129
0 129
0 154
1 154
2 154
2 154
3 154
3 154
2 154
1 154
0 154
0 65
1 65
1 65
1 65
1 65
1 65
3 112
2 112
1 112
0 112
0 104
1 104
1 104
1 104
1 104
1 104
2 104
1 104
0 104
0 46
0 46
0 46
0 154
1 154
1 154
2 154
3 154
2 154
1 154
0 154
0 65
0 65
0 65
0 65
0 65
0 65
3 112
2 112
1 112
0 112
0 104
1 104
2 104
2 104
2 104
2 104
1 104
0 104
0 46
1 46
1 46
1 46
0 46
0 154
0 154
1 154
2 154
2 154
1 154
0 154
0 53
0 53
0 53
0 53
0 53
0 53
3 112
2 112
1 112
0 112
0 104
1 104
2 104
3 104
2 104
2 104
1 104
0 104
0 46
1 46
2 46
2 46
1 46
0 46
0 46
0 154
1 154
1 154
0 154
0 101
0 53
1 53
1 53
1 53
1 53
1 53
2 112
2 112
1 112
0 112
0 104
1 104
2 104
2 104
1 104
1 104
1 104
0 104
0 46
1 46
2 46
3 46
2 46
1 46
0 46
0 154
1 154
0 154
0 101
0 101
0 101
0 53
1 53
2 53
2 53
2 53
1 112
1 112
1 112
0 112
0 104
1 104
1 104
1 104
0 104
0 104
0 104
0 104
0 46
1 46
2 46
2 46
2 46
2 46
1 46
0 46
0 154
0 101
0 101
0 101
1 101
0 101
0 53
1 53
2 53
3 53
0 112
0 112
0 112
0 112
0 104
0 104
0 104
0 104
0 13
0 13
0 13
0 13
0 46
0 46
1 46
1 46
1 46
1 46
0 46
0 46
0 101
1 101
1 101
1 101
1 101
1 101
0 101
0 53
1 53
2 53
0 60
0 60
0 60
0 60
0 60
0 60
0 13
0 13
1 13
1 13
1 13
1 13
0 13
0 13
0 46
0 46
0 46
0 46
0 42
0 42
0 101
0 101
1 101
1 101
1 101
2 101
1 101
0 101
0 53
1 53
1 60
1 60
1 60
1 60
1 60
0 60
0 13
1 13
2 13
2 13
2 13
2 13
1 13
0 13
0 42
0 42
0 42
0 42
0 42
0 126
0 126
0 126
0 101
1 101
1 101
1 101
1 101
0 101
0 53
1 53
2 60
2 60
2 60
2 60
1 60
0 60
0 13
1 13
2 13
3 13
3 13
2 13
1 13
0 13
0 42
1 42
1 42
1 42
0 42
0 126
1 126
1 126
0 126
0 101
0 101
0 101
0 101
0 101
0 101
0 53
3 60
3 60
3 60
3 60
2 60
1 60
0 60
0 13
1 13
2 13
2 13
1 13
0 13
0 42
1 42
2 42
2 42
1 42
0 42
0 126
1 126
2 126
1 126
0 126
0 101
0 57
0 57
0 57
0 57
0 57
4 60
4 60
4 60
3 60
2 60
1 60
0 60
0 13
1 13
2 13
1 13
1 13
0 13
0 42
1 42
2 42
3 42
2 42
1 42
0 42
0 126
1 126
1 126
0 126
0 57
0 57
0 57
0 57
0 16
0 16
4 60
4 60
3 60
2 60
2 60
1 60
0 60
0 13
0 13
1 13
0 13
0 13
0 42
1 42
1 42
2 42
2 42
2 42
1 42
0 42
0 126
0 126
1 126
0 126
0 57
0 57
0 16
0 16
1 16
1 16
3 60
3 60
2 60
1 60
1 60
0 60
0 45
0 45
0 45
0 13
0 86
0 86
0 86
0 42
0 42
1 42
1 42
1 42
0 42
0 42
0 135
0 135
0 126
0 126
0 16
0 16
1 16
1 16
2 16
2 16
2 60
2 60
1 60
0 60
0 60
0 45
1 45
1 45
0 45
0 86
1 86
1 86
1 86
0 86
0 86
0 42
0 42
0 42
0 135
0 135
1 135
1 135
0 135
0 16
1 16
1 16
2 16
2 16
3 16
3 16
1 60
1 60
0 60
0 45
0 45
1 45
2 45
1 45
0 45
0 86
1 86
2 86
2 86
1 86
1 86
0 86
0 135
0 135
1 135
1 135
2 135
2 135
1 135
0 135
0 16
1 16
2 16
2 16
3 16
3 16
1 60
1 60
0 60
0 45
1 45
2 45
2 45
1 45
0 45
0 86
1 86
2 86
3 86
2 86
1 86
0 86
0 135
1 135
2 135
2 135
2 135
2 135
1 135
0 135
0 16
1 16
2 16
2 16
2 16
2 16
0 60
0 60
0 45
1 45
1 45
2 45
2 45
1 45
0 45
0 86
1 86
2 86
3 86
3 86
2 86
1 86
0 86
0 135
1 135
2 135
2 135
2 135
1 135
0 135
0 16
1 16
1 16
1 16
2 16
2 16
0 45
0 45
0 45
1 45
1 45
2 45
2 45
1 45
0 45
0 86
1 86
2 86
3 86
3 86
2 86
1 86
0 86
0 135
1 135
2 135
2 135
1 135
0 135
0 16
1 16
1 16
1 16
1 16
1 16
2 16
2 71
1 71
1 71
0 71
0 145
0 145
1 145
1 145
1 145
1 145
1 145
1 145
0 145
0 155
1 155
2 155
3 155
4 155
3 155
2 155
1 155
0 155
0 132
0 132
0 76
0 54
1 54
2 54
3 54
4 54
2 71
2 71
1 71
0 71
0 145
0 145
1 145
1 145
1 145
1 145
1 145
1 145
0 145
0 155
1 155
2 155
3 155
3 155
2 155
1 155
0 155
0 132
0 132
0 132
0 76
0 54
1 54
2 54
3 54
3 54
2 71
2 71
2 71
1 71
0 71
0 145
1 145
1 145
1 145
1 145
1 145
1 145
0 145
0 155
1 155
2 155
2 155
3 155
2 155
1 155
0 155
0 132
0 132
0 132
0 132
0 76
0 54
1 54
2 54
2 54
2 71
2 71
2 71
1 71
0 71
0 145
1 145
1 145
1 145
1 145
1 145
0 145
0 129
0 129
0 155
1 155
1 155
2 155
2 155
1 155
0 155
0 132
0 132
0 132
0 132
0 132
0 54
1 54
1 54
1 54
2 71
2 71
2 71
2 71
1 71
0 71
0 145
1 145
1 145
1 145
0 145
0 129
1 129
0 129
0 129
0 155
0 155
1 155
1 155
0 155
0 132
0 132
0 132
0 132
0 132
0 132
0 132
0 54
0 54
0 54
2 71
2 71
2 71
2 71
1 71
0 71
0 21
0 145
0 145
0 145
0 129
1 129
2 129
1 129
1 129
0 129
0 129
0 155
1 155
0 155
0 132
0 132
0 132
0 132
0 132
0 132
0 132
0 54
0 65
0 65
1 71
1 71
1 71
1 71
0 71
0 21
1 21
0 21
0 21
0 21
0 129
0 129
1 129
1 129
1 129
1 129
1 129
0 129
0 155
0 155
0 132
1 132
1 132
0 132
0 132
0 132
0 65
0 65
1 65
1 65
0 71
0 71
0 71
0 71
0 21
1 21
2 21
1 21
1 21
0 21
0 129
0 129
0 129
1 129
1 129
1 129
1 129
0 129
0 154
0 154
0 154
0 132
0 132
0 132
0 132
0 65
1 65
1 65
2 65
2 65
0 112
0 112
0 112
0 112
0 21
1 21
1 21
2 21
1 21
0 21
0 51
0 51
0 129
0 129
1 129
1 129
0 129
0 129
0 154
1 154
1 154
0 154
0 154
0 65
0 65
1 65
2 65
2 65
2 65
2 65
1 112
1 112
1 112
0 112
0 21
1 21
1 21
1 21
1 21
0 21
0 51
0 51
0 51
0 129
0 129
0 129
0 129
0 154
0 154
1 154
2 154
1 154
0 154
0 65
1 65
1 65
1 65
2 65
2 65
2 65
2 112
2 112
2 112
1 112
0 112
0 21
0 21
0 21
